Department of Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export Import Data Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export :: Country-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,Country,2008-2009,%Share,2009-2010,%Share,2010-2011,%Share,2011-2012,%Share,2012-2013,%Share,2013-2014,%Share,2014-2015,%Share,2015-2016,%Share,2016-2017,%Share,2017-2018,%Share,2018-2019,%Share,2019-2020,%Share,2020-2021,%Share,2021-2022,%Share,2022-2023,%Share,2023-2024,%Share,2024-2025,%Share
55,CROATIA,"39,161.66",0.0466,"42,375.39",0.0501,"11,627.08",0.0102,"54,953.24",0.0375,"72,678.15",0.0445,"84,231.20",0.0442,"22,827.66",0.012,"35,324.65",0.0206,"48,035.64",0.026,"64,629.26",0.033,"3,00,326.48",0.1301,"3,51,948.02",0.1585,"66,830.07",0.031,"1,04,771.39",0.0333,"64,742.17",0.0179,"33,288.91",0.0092,"12,125.06",0.0194
56,CUBA,"17,075.91",0.0203,"10,781.08",0.0128,"19,731.40",0.0174,"17,407.18",0.0119,"19,452.52",0.0119,"21,483.60",0.0113,,,5.01,0,"3,57,748.67",0.1934,"2,61,295.36",0.1336,"5,22,610.63",0.2265,"5,19,856.83",0.2342,"3,59,358.97",0.1664,"4,68,796.09",0.149,"65,837.48",0.0182,"78,584.59",0.0217,"2,45,091.80",0.3918
57,CYPRUS,"1,14,200.89",0.1358,"22,192.93",0.0262,"98,190.70",0.0864,"27,275.09",0.0186,"29,990.76",0.0184,"37,524.13",0.0197,"31,253.73",0.0165,"39,062.01",0.0228,"4,64,709.55",0.2513,"5,05,271.24",0.2583,"5,54,923.56",0.2405,"2,23,390.43",0.1006,"5,58,182.22",0.2585,"7,04,095.00",0.2237,"9,43,900.13",0.2606,"11,51,136.50",0.3181,"1,22,292.53",0.1955
58,CZECH REPUBLIC,"83,299.38",0.0991,"84,139.40",0.0995,"3,14,241.74",0.2764,"1,30,658.51",0.0891,"1,36,792.18",0.0837,"2,37,060.16",0.1244,"2,30,806.98",0.1217,"3,18,182.60",0.1854,"1,87,975.90",0.1016,"2,42,220.12",0.1238,"1,50,733.75",0.0653,"1,51,036.53",0.068,"2,57,017.72",0.119,"5,31,948.70",0.169,"7,30,921.44",0.2018,"7,08,924.86",0.1959,"1,73,314.62",0.277
59,DENMARK,"2,67,651.55",0.3183,"2,74,977.44",0.3252,"1,45,274.27",0.1278,"3,61,644.04",0.2467,"3,84,977.74",0.2356,"4,61,023.71",0.242,"4,42,504.35",0.2333,"4,51,489.34",0.263,"1,50,916.89",0.0816,"1,26,868.90",0.0648,902.21,0.0004,"1,530.25",0.0007,"1,54,574.53",0.0716,"2,31,129.08",0.0734,"9,64,245.67",0.2663,"9,47,592.84",0.2618,"53,634.82",0.0857
60,DJIBOUTI,"1,60,806.39",0.1913,"1,25,780.53",0.1488,"37,697.56",0.0332,"2,29,461.69",0.1565,"2,23,755.33",0.1369,"1,84,398.49",0.0968,"1,45,294.12",0.0766,"1,33,357.64",0.0777,"1,646.47",0.0009,"1,359.50",0.0007,"2,07,885.15",0.0901,"1,79,121.22",0.0807,"1,375.26",0.0006,"2,088.00",0.0007,"2,64,187.37",0.0729,"2,87,231.65",0.0794,464.48,0.0007
61,DOMINIC REP,"23,514.00",0.028,"26,050.62",0.0308,"1,126.29",0.001,"49,070.37",0.0335,"59,349.22",0.0363,"76,465.01",0.0401,"86,326.33",0.0455,"1,14,869.71",0.0669,"1,32,647.88",0.0717,"1,80,423.08",0.0922,"20,15,277.32",0.8733,"17,72,410.12",0.7984,"1,53,648.00",0.0712,"2,27,380.57",0.0723,"2,318.38",0.0006,"2,092.07",0.0006,"30,592.02",0.0489
62,DOMINICA,"1,197.18",0.0014,"1,410.01",0.0017,"55,276.38",0.0486,"1,358.64",0.0009,"1,310.76",0.0008,"1,476.50",0.0008,"1,551.62",0.0008,954.12,0.0006,"13,85,513.44",0.7492,"15,42,054.35",0.7882,"54,873.72",0.0238,"56,254.85",0.0253,"16,76,019.18",0.7763,"27,92,214.03",0.8873,"3,21,623.68",0.0888,"3,80,381.86",0.1051,"4,87,460.84",0.7792
63,ECUADOR,"58,350.32",0.0694,"42,398.20",0.0501,"9,02,643.27",0.7939,"1,12,362.37",0.0766,"1,43,393.38",0.0877,"1,76,068.25",0.0924,"1,37,504.62",0.0725,"1,00,006.38",0.0583,"40,505.80",0.0219,"44,780.31",0.0229,"8,392.19",0.0036,"7,771.00",0.0035,"62,113.66",0.0288,"1,20,683.60",0.0383,"33,12,344.29",0.9146,"29,15,687.98",0.8056,"19,817.26",0.0317
64,EGYPT A RP,"7,59,464.44",0.9033,"6,63,818.34",0.7851,"10,945.27",0.0096,"11,73,550.17",0.8005,"15,71,394.15",0.9615,"15,56,074.22",0.8168,"18,44,254.03",0.9725,"15,27,181.28",0.8898,"7,533.80",0.0041,"6,948.70",0.0036,"6,198.78",0.0027,"4,201.10",0.0019,"10,505.71",0.0049,"9,266.89",0.0029,"1,01,785.82",0.0281,"1,06,731.23",0.0295,"1,875.14",0.003
65,EL SALVADOR,"7,676.42",0.0091,"6,313.04",0.0075,"5,189.45",0.0046,"18,106.95",0.0124,"30,487.00",0.0187,"39,412.89",0.0207,"37,582.77",0.0198,"44,820.93",0.0261,"2,155.15",0.0012,"4,790.76",0.0024,"44,955.22",0.0195,"46,297.55",0.0209,"7,002.71",0.0032,"13,119.83",0.0042,"18,556.44",0.0051,"22,191.46",0.0061,"1,353.36",0.0022
66,EQUTL GUINEA,"2,969.06",0.0035,"3,616.87",0.0043,"11,205.75",0.0099,"8,186.18",0.0056,"11,594.13",0.0071,"10,477.45",0.0055,"9,165.18",0.0048,"11,590.19",0.0068,"65,412.32",0.0354,"51,770.92",0.0265,"5,36,426.08",0.2324,"5,65,450.88",0.2547,"38,438.80",0.0178,"46,301.33",0.0147,"14,607.38",0.004,"8,324.20",0.0023,"14,779.50",0.0236
67,ERITREA,"7,354.63",0.0087,"13,599.65",0.0161,"24,135.97",0.0212,"15,376.32",0.0105,"10,379.70",0.0064,"10,045.44",0.0053,"8,589.90",0.0045,"4,220.18",0.0025,"5,18,646.71",0.2804,"4,40,939.97",0.2254,0.97,0,56.28,0,"5,06,976.48",0.2348,"5,07,683.30",0.1613,"56,760.09",0.0157,"64,037.89",0.0177,"68,635.19",0.1097
68,ESTONIA,"22,455.87",0.0267,"13,642.83",0.0161,"1,24,545.39",0.1095,"56,218.14",0.0383,"49,983.35",0.0306,"47,863.89",0.0251,"41,720.33",0.022,"41,691.49",0.0243,392.31,0.0002,192.78,0.0001,"2,100.41",0.0009,637.17,0.0003,,,1.21,0,"4,69,823.99",0.1297,"4,05,194.00",0.112,0.05,0
69,ETHIOPIA,"1,14,291.89",0.1359,"1,20,614.28",0.1426,18.02,0,"2,24,165.33",0.1529,"4,08,162.58",0.2497,"4,95,038.09",0.2599,"4,79,183.79",0.2527,"5,19,816.45",0.3029,"35,176.97",0.019,"34,974.99",0.0179,"42,447.78",0.0184,"39,403.43",0.0178,199.94,0.0001,200.44,0.0001,0.58,0,,,133.72,0.0002
70,FALKLAND IS,42.67,0.0001,17.55,0,343.6,0.0003,690.21,0.0005,0.67,0,,,,,1.97,0,"1,80,917.09",0.0978,"1,82,125.90",0.0931,"1,79,002.73",0.0776,"1,90,270.93",0.0857,"34,682.93",0.0161,"43,254.29",0.0137,289.21,0.0001,"4,916.52",0.0014,"12,083.24",0.0193
71,FAROE IS.,27.29,0,68.13,0.0001,"12,983.10",0.0114,418.01,0.0003,799.08,0.0005,"1,853.99",0.001,"1,576.21",0.0008,"1,146.26",0.0007,987.2,0.0005,"1,408.40",0.0007,"1,324.47",0.0006,691.09,0.0003,"2,10,473.53",0.0975,"2,56,689.24",0.0816,"64,389.10",0.0178,"63,153.55",0.0174,"78,370.72",0.1253
72,FIJI IS,"39,679.98",0.0472,"12,645.99",0.015,"1,16,002.55",0.102,"17,505.01",0.0119,"22,343.32",0.0137,"29,510.74",0.0155,"30,336.16",0.016,"28,799.37",0.0168,"2,777.12",0.0015,"4,098.15",0.0021,"3,812.69",0.0017,"4,274.12",0.0019,"1,312.45",0.0006,"1,549.08",0.0005,"4,27,960.11",0.1182,"4,82,563.32",0.1333,298.8,0.0005
73,FINLAND,"1,20,559.43",0.1434,"98,365.49",0.1163,"1,635.00",0.0014,"1,51,226.31",0.1032,"1,72,482.58",0.1055,"2,52,902.72",0.1328,"2,01,776.65",0.1064,"1,62,884.62",0.0949,"35,17,869.78",1.9021,"31,58,610.39",1.6144,"36,57,423.29",1.5849,"36,11,160.07",1.6268,"4,177.05",0.0019,"6,878.45",0.0022,"1,208.28",0.0003,"1,217.70",0.0003,"1,397.31",0.0022
74,FR GUIANA,"17,546.61",0.0209,"1,088.04",0.0013,490.54,0.0004,760.63,0.0005,"1,814.16",0.0011,"21,947.98",0.0115,"36,415.12",0.0192,764.53,0.0004,"29,042.78",0.0157,"29,071.83",0.0149,"38,644.55",0.0167,"32,205.75",0.0145,"35,32,921.78",1.6363,"49,60,509.68",1.5763,"8,154.39",0.0023,"9,931.19",0.0027,"14,11,936.44",2.257
75,FR POLYNESIA,587.01,0.0007,381.39,0.0005,1.05,0,"5,696.71",0.0039,964.36,0.0006,"1,704.13",0.0009,"1,883.67",0.001,"2,504.75",0.0015,"41,772.83",0.0226,"77,521.59",0.0396,"1,09,723.24",0.0475,"93,701.16",0.0422,"43,437.57",0.0201,"39,504.23",0.0126,"61,04,859.40",1.6857,"59,12,570.39",1.6336,"10,610.04",0.017
76,FR S ANT TR,0.78,0,0.36,0,"23,68,748.28",2.0834,8.56,0,3.09,0,,,,,39.41,0,"60,884.38",0.0329,"49,774.00",0.0254,"77,356.21",0.0335,"58,758.25",0.0265,"95,729.82",0.0443,"1,14,076.56",0.0362,"64,736.71",0.0179,"60,125.70",0.0166,"17,034.23",0.0272
77,FRANCE,"13,77,671.15",1.6386,"17,99,941.28",2.1288,"17,069.33",0.015,"22,02,080.31",1.5021,"27,10,585.55",1.6585,"30,95,127.32",1.6247,"30,32,342.22",1.599,"30,32,612.40",1.7669,"48,15,370.00",2.6037,"55,99,363.47",2.8619,"62,20,062.92",2.6953,"58,72,261.72",2.6453,"73,551.05",0.0341,"1,22,136.50",0.0388,"98,596.46",0.0272,"1,45,448.63",0.0402,"29,442.81",0.0471
78,GABON,"9,922.00",0.0118,"11,760.52",0.0139,"18,947.24",0.0167,"22,704.69",0.0155,"29,505.18",0.0181,"32,120.14",0.0169,"26,027.15",0.0137,"24,165.80",0.0141,"4,56,585.83",0.2469,"4,09,801.94",0.2095,"5,00,679.01",0.217,"4,37,451.54",0.1971,"60,11,271.20",2.7842,"73,71,637.84",2.3424,"2,13,194.61",0.0589,"1,63,377.13",0.0451,"13,68,544.90",2.1876
79,GAMBIA,"14,067.84",0.0167,"17,487.86",0.0207,"33,182.23",0.0292,"30,927.64",0.0211,"30,206.16",0.0185,"51,572.76",0.0271,"44,901.80",0.0237,"39,133.71",0.0228,"8,63,154.54",0.4667,"1,87,843.67",0.096,"4,01,793.41",0.1741,"4,44,136.74",0.2001,"6,37,869.04",0.2954,"8,26,935.60",0.2628,"81,39,690.83",2.2476,"81,45,946.67",2.2507,"1,59,631.92",0.2552
80,GEORGIA,"33,414.71",0.0397,"26,265.96",0.0311,"30,71,853.52",2.7018,"59,041.45",0.0403,"67,454.69",0.0413,"55,468.60",0.0291,"53,005.28",0.028,"54,217.55",0.0316,"2,55,015.87",0.1379,"2,79,521.64",0.1429,"3,50,286.57",0.1518,"3,16,193.50",0.1424,"1,53,580.65",0.0711,"3,68,346.70",0.117,"7,71,844.36",0.2131,"9,10,343.59",0.2515,87.08,0.0001
81,GERMANY,"29,19,475.35",3.4724,"25,63,293.28",3.0316,"2,63,683.54",0.2319,"37,96,531.89",2.5898,"39,40,810.59",2.4113,"45,51,943.87",2.3895,"46,06,196.79",2.429,"46,45,663.46",2.7067,0.02,0,5.02,0,2.37,0,18.78,0,"4,04,415.74",0.1873,"8,05,276.57",0.2559,"3,61,329.01",0.0998,"6,88,463.79",0.1902,"1,34,617.47",0.2152
82,GHANA,"2,49,717.48",0.297,"1,84,445.29",0.2181,"67,105.21",0.059,"3,84,305.88",0.2622,"4,04,967.15",0.2478,"5,04,518.54",0.2648,"4,16,978.83",0.2199,"4,09,082.50",0.2383,"2,028.43",0.0011,"1,700.41",0.0009,"2,638.41",0.0011,"1,978.03",0.0009,825.99,0.0004,"1,035.75",0.0003,"6,30,903.81",0.1742,"8,73,559.56",0.2414,2.8,0
83,GIBRALTAR,"4,025.93",0.0048,"2,99,644.52",0.3544,"1,65,738.72",0.1458,"1,39,983.50",0.0955,145.11,0.0001,"60,579.71",0.0318,"3,93,328.10",0.2074,"7,79,621.46",0.4542,"2,940.06",0.0016,"3,447.73",0.0018,"2,394.82",0.001,"5,652.63",0.0025,"2,113.74",0.001,"2,949.55",0.0009,27.82,0,189.28,0.0001,195.96,0.0003
84,GREECE,"4,06,323.82",0.4833,"2,14,976.71",0.2542,46.71,0,"3,77,225.64",0.2573,"1,63,236.67",0.0999,"2,02,544.82",0.1063,"2,20,424.80",0.1162,"2,20,347.06",0.1284,327.35,0.0002,567.95,0.0003,456.63,0.0002,644.25,0.0003,"1,970.18",0.0009,"2,674.57",0.0008,"3,120.17",0.0009,"3,646.73",0.001,653.23,0.001
85,GREENLAND,38.41,0,177.83,0.0002,461.56,0.0004,133.81,0.0001,255.43,0.0002,"1,054.10",0.0006,690.05,0.0004,"5,693.49",0.0033,"1,61,731.57",0.0874,"1,88,218.51",0.0962,"2,13,690.66",0.0926,"2,06,753.49",0.0931,551.78,0.0003,"1,255.29",0.0004,"2,715.33",0.0007,"3,819.78",0.0011,135.18,0.0002
86,GRENADA,207.18,0.0002,308.04,0.0004,"2,830.86",0.0025,495.21,0.0003,464.46,0.0003,895.39,0.0005,819.29,0.0004,"1,222.38",0.0007,,,19.54,0,0.01,0,0.01,0,"2,44,758.06",0.1134,"4,11,218.38",0.1307,517.38,0.0001,699.91,0.0002,"85,696.97",0.137
87,GUADELOUPE,684.83,0.0008,"1,687.70",0.002,826.33,0.0007,"3,350.01",0.0023,"3,591.33",0.0022,"3,948.18",0.0021,"2,537.48",0.0013,"1,871.69",0.0011,"2,37,889.27",0.1286,"2,43,646.78",0.1245,"2,82,836.06",0.1226,"2,51,587.01",0.1133,0,0,,,"3,73,749.50",0.1032,"4,62,898.62",0.1279,"1,41,800.43",0.2267
88,GUAM,248.38,0.0003,276.17,0.0003,"51,390.20",0.0452,930.4,0.0006,549.9,0.0003,168.08,0.0001,254.91,0.0001,250.98,0.0001,"14,520.25",0.0079,"6,885.33",0.0035,"7,563.27",0.0033,"6,363.05",0.0029,"3,71,576.11",0.1721,"4,18,259.79",0.1329,"5,06,360.51",0.1398,"5,76,426.57",0.1593,"1,510.76",0.0024
89,GUATEMALA,"36,984.11",0.044,"41,055.31",0.0486,"43,865.85",0.0386,"92,124.49",0.0628,"1,22,209.92",0.0748,"1,28,931.45",0.0677,"1,40,099.77",0.0739,"1,67,572.42",0.0976,"13,450.34",0.0073,"16,778.76",0.0086,"20,722.28",0.009,"17,867.03",0.008,"13,338.59",0.0062,"7,907.79",0.0025,"7,953.31",0.0022,"5,782.01",0.0016,"12,212.21",0.0195
90,GUINEA,"35,446.38",0.0422,"37,671.90",0.0446,"1,389.09",0.0012,"62,647.77",0.0427,"1,12,040.37",0.0686,"1,23,699.44",0.0649,"1,73,475.63",0.0915,"1,81,824.69",0.1059,"47,908.50",0.0259,"60,585.38",0.031,"55,503.78",0.0241,"46,474.06",0.0209,"26,285.88",0.0122,"49,531.38",0.0157,"49,984.30",0.0138,"82,335.33",0.0227,"3,106.09",0.005
91,GUINEA BISSAU,"16,491.57",0.0196,"1,494.50",0.0018,"7,317.96",0.0064,"6,221.90",0.0042,"5,869.73",0.0036,"11,695.65",0.0061,"5,962.93",0.0031,"9,534.27",0.0056,,,23.97,0,18.55,0,,,"79,637.73",0.0369,"74,167.00",0.0236,"70,362.44",0.0194,"87,401.79",0.0241,"35,643.06",0.057
92,GUYANA,"5,555.41",0.0066,"7,715.78",0.0091,"27,536.81",0.0242,"10,224.29",0.007,"11,948.98",0.0073,"14,695.00",0.0077,"14,946.95",0.0079,"14,288.06",0.0083,"90,446.67",0.0489,"94,251.13",0.0482,"1,16,879.29",0.0506,"1,31,352.09",0.0592,"1,20,428.70",0.0558,"2,36,870.50",0.0753,"2,19,083.69",0.0605,"2,20,142.57",0.0608,"7,74,252.55",1.2376
93,HAITI,"20,342.04",0.0242,"15,668.16",0.0185,204.9,0.0002,"23,110.10",0.0158,"34,679.77",0.0212,"35,830.56",0.0188,"52,378.17",0.0276,"40,614.28",0.0237,"94,11,493.32",5.0889,"94,67,735.08",4.8391,"91,11,741.76",3.9484,"77,75,243.40",3.5026,"75,20,143.29",3.4831,"81,83,452.88",2.6004,"79,49,741.89",2.1951,"68,29,915.45",1.8871,"71,199.30",0.1138
94,HEARD MACDONALD,0.09,0,0.63,0,"28,808.60",0.0253,,,0.63,0,16.21,0,35.04,0,,,"2,72,507.28",0.1473,"2,59,548.84",0.1327,"3,20,457.79",0.1389,"3,00,344.09",0.1353,"3,66,753.75",0.1699,"4,10,612.25",0.1305,"4,62,527.28",0.1277,"4,64,769.20",0.1284,"1,450.16",0.0023
95,HONDURAS,"31,588.43",0.0376,"21,515.76",0.0254,"47,03,841.63",4.1372,"44,210.05",0.0302,"59,975.69",0.0367,"65,530.75",0.0344,"1,14,964.94",0.0606,"1,01,414.22",0.0591,"11,209.53",0.0061,"3,802.22",0.0019,"21,791.46",0.0094,"7,144.79",0.0032,"8,078.40",0.0037,"8,779.88",0.0028,"8,378.11",0.0023,"10,064.36",0.0028,"7,82,813.37",1.2513
96,HONG KONG,"30,39,069.39",3.6147,"37,30,053.40",4.4115,"96,805.13",0.0851,"61,87,723.46",4.2209,"66,89,817.16",4.0933,"77,24,096.13",4.0546,"83,11,857.40",4.3831,"79,30,702.05",4.6206,"23,40,069.18",1.2653,"25,56,175.52",1.3065,"36,87,106.45",1.5977,"29,29,938.37",1.3199,"37,15,668.84",1.721,"63,19,650.22",2.0081,"80,33,518.43",2.2183,"49,51,517.09",1.3681,"1,90,180.29",0.304
97,HUNGARY,"1,99,667.93",0.2375,"1,28,182.66",0.1516,"38,606.42",0.034,"1,51,592.17",0.1034,"1,76,180.70",0.1078,"2,07,994.28",0.1092,"2,13,421.51",0.1125,"2,25,839.51",0.1316,"53,433.43",0.0289,"22,401.02",0.0114,"24,46,096.07",1.06,"23,85,428.68",1.0746,"13,21,185.17",0.6119,"10,83,117.95",0.3442,"13,27,244.14",0.3665,"10,11,729.00",0.2795,"4,70,052.94",0.7514
98,ICELAND,"5,708.88",0.0068,"8,015.05",0.0095,"25,92,440.79",2.2801,"15,984.84",0.0109,"14,092.77",0.0086,"11,978.94",0.0063,"12,200.12",0.0064,"12,175.99",0.0071,"15,95,527.94",0.8627,"17,09,370.72",0.8737,"12,50,649.91",0.5419,"13,28,659.79",0.5985,"11,10,518.18",0.5144,"17,96,957.80",0.571,"21,77,664.26",0.6013,"27,76,676.46",0.7672,"86,498.52",0.1383
99,INDONESIA,"11,57,782.95",1.3771,"14,60,463.91",1.7273,"11,33,689.41",0.9971,"32,10,069.61",2.1897,"28,99,608.70",1.7742,"29,33,987.09",1.5401,"24,67,435.24",1.3012,"18,44,606.51",1.0747,"7,45,645.13",0.4032,"9,42,265.18",0.4816,"3,71,498.31",0.161,"3,78,331.77",0.1704,"4,16,967.58",0.1931,"5,13,013.07",0.163,"4,67,244.12",0.129,"5,82,089.64",0.1608,"2,70,925.60",0.4331
100,IRAN,"11,56,517.42",1.3756,"8,80,743.32",1.0416,"3,07,505.70",0.2705,"11,51,165.21",0.7853,"18,25,480.70",1.117,"30,05,657.44",1.5778,,,"4,791.58",0.0028,"3,25,535.84",0.176,"3,45,502.35",0.1766,"25,95,874.95",1.1249,"23,80,739.01",1.0725,"19,97,978.03",0.9254,"35,77,045.79",1.1366,"68,27,425.31",1.8852,"37,48,205.03",1.0356,"11,45,437.54",1.831
101,IRAQ,"1,98,127.14",0.2357,"2,26,331.18",0.2677,"1,22,914.98",0.1081,"3,70,849.83",0.253,"6,97,277.74",0.4266,"5,52,497.27",0.29,"25,52,961.91",1.3463,"18,17,670.99",1.059,"20,69,804.44",1.1192,"21,68,736.36",1.1085,"39,08,778.67",1.6938,"35,25,935.23",1.5884,"34,99,172.02",1.6207,"60,95,957.44",1.9371,"69,76,287.42",1.9263,"72,55,314.30",2.0046,"11,765.06",0.0188
102,IRELAND,"2,03,497.12",0.242,"1,23,564.18",0.1461,"13,28,259.52",1.1683,"1,83,649.88",0.1253,"2,10,291.03",0.1287,"2,50,896.70",0.1317,"5,08,954.05",0.2684,"6,54,975.58",0.3816,"32,85,790.48",1.7766,"36,80,606.50",1.8812,"38,832.88",0.0168,"40,204.37",0.0181,"47,435.64",0.022,"60,088.90",0.0191,"70,520.75",0.0195,"90,376.63",0.025,"7,60,355.59",1.2154
103,ISRAEL,"6,58,430.72",0.7831,"9,28,943.79",1.0986,"20,69,068.00",1.8198,"19,32,660.41",1.3184,"20,34,668.32",1.245,"22,75,713.87",1.1946,"4,67,133.18",0.2463,"3,44,294.70",0.2006,"28,849.42",0.0156,"33,683.64",0.0172,"34,01,029.03",1.4738,"32,00,287.14",1.4417,"32,81,818.06",1.52,"46,04,198.92",1.463,"43,83,430.40",1.2104,"42,69,323.34",1.1796,,
104,ITALY,"17,36,487.94",2.0654,"16,07,224.74",1.9008,"10,150.97",0.0089,"23,27,165.70",1.5875,"23,77,873.26",1.455,"31,88,717.28",1.6739,"20,07,124.53",1.0584,"18,46,686.68",1.0759,"25,78,624.43",1.3943,"30,50,599.46",1.5592,,,0.01,0,"4,67,334.28",0.2165,"6,62,510.00",0.2105,,,0.01,0,"96,958.13",0.155
105,JAMAICA,"10,342.24",0.0123,"9,859.82",0.0117,"23,17,903.33",2.0387,"12,805.14",0.0087,"16,203.83",0.0099,"21,854.45",0.0115,"31,11,841.59",1.641,"27,63,464.87",1.6101,,,1.19,0,"4,05,806.64",0.1758,"6,77,086.65",0.305,"1,67,239.30",0.0775,"1,75,648.15",0.0558,"17,21,009.69",0.4752,"12,12,861.96",0.3351,"41,901.61",0.067
106,JAPAN,"13,80,771.30",1.6423,"17,14,278.60",2.0275,"2,20,230.43",0.1937,"30,51,134.40",2.0813,"33,21,415.89",2.0323,"41,25,345.29",2.1655,"23,174.32",0.0122,"26,349.01",0.0154,"3,50,435.01",0.1895,"3,47,843.15",0.1778,"1,00,411.81",0.0435,"1,43,559.84",0.0647,"14,03,083.53",0.6499,"19,62,269.11",0.6235,"3,49,939.77",0.0966,"1,95,928.53",0.0541,"2,92,287.09",0.4672
107,JORDAN,"1,96,036.40",0.2332,"1,16,368.75",0.1376,"78,442.53",0.069,"3,97,685.72",0.2713,"5,45,264.63",0.3336,"9,82,730.34",0.5159,"32,83,568.79",1.7315,"30,43,466.66",1.7732,"81,084.29",0.0438,"80,791.57",0.0413,"14,44,068.05",0.6258,"14,93,656.89",0.6729,529.68,0.0002,"1,223.48",0.0004,"26,28,344.06",0.7258,"26,31,294.55",0.727,"1,376.40",0.0022
108,KAZAKHSTAN,"60,244.72",0.0717,"64,821.66",0.0767,"9,94,752.69",0.8749,"1,17,144.60",0.0799,"1,55,913.79",0.0954,"1,58,010.10",0.0829,"8,69,669.71",0.4586,"3,26,542.91",0.1903,"14,71,467.78",0.7956,"12,72,449.44",0.6504,255.04,0.0001,271.69,0.0001,"2,088.24",0.001,252.65,0.0001,"1,219.96",0.0003,857.83,0.0002,51.48,0.0001
109,KENYA,"6,14,088.18",0.7304,"6,89,241.82",0.8152,57.24,0.0001,"10,98,722.12",0.7495,"20,52,569.66",1.2559,"23,59,553.95",1.2386,"1,53,244.29",0.0808,"99,436.67",0.0579,316.09,0.0002,354.91,0.0002,"19,112.09",0.0083,"6,374.77",0.0029,"34,69,423.42",1.6069,"60,34,956.81",1.9177,"1,371.74",0.0004,"1,700.23",0.0005,"7,30,427.64",1.1676
110,KIRIBATI REP,980,0.0012,155.9,0.0002,"1,49,099.56",0.1311,588.93,0.0004,193.93,0.0001,579.09,0.0003,"25,14,812.70",1.3261,"19,77,751.39",1.1523,"30,064.10",0.0163,"37,218.74",0.019,"32,87,796.88",1.4247,"34,33,765.43",1.5468,"7,79,650.60",0.3611,"9,26,387.69",0.2944,"53,27,534.58",1.4711,"53,11,498.92",1.4676,"2,96,759.97",0.4744
111,KOREA DP RP,"4,03,661.57",0.4801,"1,99,342.66",0.2358,"16,95,280.67",1.4911,"1,10,707.74",0.0755,"1,09,939.39",0.0673,"1,14,325.51",0.06,616.12,0.0003,614.71,0.0004,"28,43,671.65",1.5376,"28,75,143.99",1.4695,"9,31,939.98",0.4038,"9,11,191.14",0.4105,"28,605.30",0.0132,"24,514.12",0.0078,"12,55,482.91",0.3467,"17,43,093.20",0.4816,"6,147.78",0.0098
112,KOREA RP,"18,35,359.19",2.183,"16,12,681.15",1.9073,"8,44,710.02",0.743,"20,76,775.91",1.4167,"22,87,024.72",1.3994,"25,47,092.30",1.337,"46,805.92",0.0247,"72,975.63",0.0425,"10,04,665.91",0.5432,"8,80,376.02",0.45,"20,958.62",0.0091,"20,641.07",0.0093,"20,338.31",0.0094,"10,910.88",0.0035,"42,211.78",0.0117,"37,847.12",0.0105,"1,955.45",0.0031
113,KUWAIT,"3,62,840.57",0.4316,"3,71,037.53",0.4388,"11,724.66",0.0103,"5,66,532.27",0.3865,"5,77,829.97",0.3536,"6,43,494.47",0.3378,"28,08,473.91",1.481,"23,04,348.38",1.3426,"20,383.89",0.011,"18,426.67",0.0094,"27,505.28",0.0119,"17,737.65",0.008,"76,675.76",0.0355,"98,953.03",0.0314,"13,660.06",0.0038,"10,659.24",0.0029,"30,537.90",0.0488
114,KYRGHYZSTAN,"10,385.08",0.0124,"12,691.45",0.015,"5,943.51",0.0052,"14,665.64",0.01,"19,037.86",0.0116,"20,820.29",0.0109,"7,33,290.57",0.3867,"8,16,058.94",0.4755,"17,221.47",0.0093,"16,116.36",0.0082,"81,019.65",0.0351,"84,444.20",0.038,"1,40,718.83",0.0652,"2,33,794.50",0.0743,"1,51,126.24",0.0417,"1,82,514.03",0.0504,"45,416.25",0.0726
115,LAO PD RP,"4,445.31",0.0053,"8,120.26",0.0096,"47,109.61",0.0414,"7,320.34",0.005,"15,712.71",0.0096,"30,499.48",0.016,"23,053.51",0.0122,"16,358.34",0.0095,"77,575.08",0.0419,"72,290.66",0.0369,"1,87,778.40",0.0814,"1,44,156.33",0.0649,"29,531.48",0.0137,"8,156.82",0.0026,"3,22,899.86",0.0892,"2,85,446.95",0.0789,"1,153.14",0.0018
116,LATVIA,"20,389.30",0.0243,"22,199.04",0.0263,"80,295.50",0.0706,"46,042.07",0.0314,"56,673.98",0.0347,"61,732.50",0.0324,"41,293.77",0.0218,"24,612.33",0.0143,"1,41,206.46",0.0764,"1,65,705.11",0.0847,"21,343.05",0.0092,"28,794.91",0.013,"1,67,157.42",0.0774,"1,84,385.38",0.0586,"11,931.34",0.0033,"4,609.05",0.0013,"66,714.67",0.1066
