Department of Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export Import Data Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export :: Country-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,Country,2008-2009,%Share,2009-2010,%Share,2010-2011,%Share,2011-2012,%Share,2012-2013,%Share,2013-2014,%Share,2014-2015,%Share,2015-2016,%Share,2016-2017,%Share,2017-2018,%Share,2018-2019,%Share,2019-2020,%Share,2020-2021,%Share,2021-2022,%Share,2022-2023,%Share,2023-2024,%Share,2024-2025,%Share
15,AZERBAIJAN,"15,910.20",0.0189,"14,202.10",0.0168,"17,527.67",0.0154,"34,981.60",0.0239,"47,495.03",0.0291,"74,670.28",0.0392,"67,597.06",0.0356,"21,822.15",0.0127,"27,053.77",0.0146,"21,713.98",0.0111,"30,626.95",0.0133,"37,606.14",0.0169,"37,621.54",0.0174,"27,149.22",0.0086,"81,373.28",0.0225,"74,289.72",0.0205,"11,918.07",0.0191
16,BAHAMAS,"1,034.54",0.0012,"4,11,243.13",0.4864,"9,93,037.59",0.8734,"10,56,148.60",0.7204,"14,49,976.69",0.8872,"1,30,219.34",0.0684,"73,343.18",0.0387,"7,892.40",0.0046,"3,982.13",0.0022,"5,204.39",0.0027,"4,258.10",0.0018,"43,132.02",0.0194,"3,372.60",0.0016,"6,011.63",0.0019,"10,344.33",0.0029,"88,347.73",0.0244,"1,217.40",0.0019
17,BAHARAIN IS,"1,31,407.49",0.1563,"1,18,507.43",0.1402,"2,93,276.84",0.2579,"2,11,834.41",0.1445,"3,28,366.74",0.2009,"3,76,321.12",0.1975,"2,89,651.42",0.1527,"4,25,939.57",0.2482,"3,16,258.52",0.171,"3,58,885.17",0.1834,"5,21,482.40",0.226,"3,96,962.47",0.1788,"3,90,363.06",0.1808,"6,70,604.98",0.2131,"7,78,779.62",0.215,"7,54,172.95",0.2084,"1,11,940.45",0.1789
18,BANGLADESH PR,"11,31,721.47",1.3461,"11,50,106.83",1.3602,"14,75,247.50",1.2975,"18,38,669.09",1.2542,"27,98,257.77",1.7122,"37,41,126.05",1.9638,"39,44,038.17",2.0798,"39,52,725.87",2.3029,"45,74,043.70",2.4732,"55,53,699.44",2.8386,"64,39,152.25",2.7903,"58,17,660.89",2.6207,"71,50,929.35",3.3121,"1,20,53,472.57",3.8301,"97,78,450.59",2.7001,"91,61,333.10",2.5313,"14,88,646.29",2.3796
19,BARBADOS,"1,761.65",0.0021,"2,041.99",0.0024,"2,482.31",0.0022,"3,615.88",0.0025,"3,193.11",0.002,"3,895.66",0.002,"6,240.09",0.0033,"6,896.14",0.004,"8,294.29",0.0045,"8,216.93",0.0042,"8,707.91",0.0038,"9,043.18",0.0041,"8,199.99",0.0038,"12,079.32",0.0038,"19,252.77",0.0053,"15,594.73",0.0043,"5,038.32",0.0081
20,BELARUS,"16,350.95",0.0194,"17,968.98",0.0213,"16,495.80",0.0145,"59,738.82",0.0408,"30,111.21",0.0184,"32,544.21",0.0171,"29,369.31",0.0155,"23,474.44",0.0137,"26,930.16",0.0146,"30,690.08",0.0157,"38,997.39",0.0169,"39,502.18",0.0178,"46,136.74",0.0214,"48,682.85",0.0155,"35,191.95",0.0097,"36,287.86",0.01,"6,563.00",0.0105
21,BELGIUM,"20,30,939.59",2.4156,"17,75,704.94",2.1001,"26,34,703.81",2.3173,"34,20,614.59",2.3334,"29,92,640.23",1.8311,"38,68,685.89",2.0308,"33,71,799.10",1.778,"32,95,874.77",1.9202,"37,91,503.93",2.0501,"40,00,724.73",2.0448,"47,00,768.29",2.037,"41,16,419.76",1.8544,"38,68,277.85",1.7917,"75,22,465.09",2.3903,"70,99,803.30",1.9604,"64,87,206.34",1.7924,"8,73,490.38",1.3963
22,BELIZE,"1,312.25",0.0016,"1,168.78",0.0014,"6,524.96",0.0057,"12,548.61",0.0086,"12,808.50",0.0078,"13,402.48",0.007,"14,970.47",0.0079,"9,512.81",0.0055,"10,223.37",0.0055,"8,683.80",0.0044,"11,885.78",0.0052,"10,105.61",0.0046,"6,965.29",0.0032,"11,382.25",0.0036,"12,836.57",0.0035,"11,145.92",0.0031,"1,959.18",0.0031
23,BENIN,"93,677.50",0.1114,"1,04,637.95",0.1238,"1,19,939.62",0.1055,"3,08,301.10",0.2103,"2,60,476.27",0.1594,"4,63,642.15",0.2434,"3,03,851.22",0.1602,"2,79,795.15",0.163,"3,00,124.83",0.1623,"3,08,926.03",0.1579,"2,98,715.13",0.1294,"2,29,743.75",0.1035,"4,10,244.92",0.19,"5,34,781.14",0.1699,"7,20,409.46",0.1989,"6,21,582.04",0.1717,"1,33,101.34",0.2128
24,BERMUDA,351.17,0.0004,390.76,0.0005,411.33,0.0004,481.18,0.0003,733.53,0.0004,"1,574.44",0.0008,"1,667.50",0.0009,"1,691.08",0.001,"2,818.77",0.0015,"2,008.27",0.001,"2,204.35",0.001,"1,758.55",0.0008,"3,310.80",0.0015,"4,125.44",0.0013,"4,052.20",0.0011,"5,038.44",0.0014,614.17,0.001
25,BHUTAN,"50,927.26",0.0606,"56,085.31",0.0663,"80,151.85",0.0705,"1,10,440.44",0.0753,"1,26,739.17",0.0775,"2,15,494.52",0.1131,"2,05,102.76",0.1082,"3,06,807.74",0.1788,"3,41,354.14",0.1846,"3,52,001.90",0.1799,"4,59,132.95",0.199,"5,23,528.64",0.2358,"5,19,322.07",0.2405,"6,60,458.94",0.2099,"8,66,258.27",0.2392,"7,97,993.86",0.2205,"1,55,901.49",0.2492
26,BOLIVIA,"4,382.33",0.0052,"4,617.34",0.0055,"7,144.33",0.0063,"12,071.61",0.0082,"31,193.16",0.0191,"32,032.90",0.0168,"43,314.16",0.0228,"48,653.08",0.0283,"53,258.88",0.0288,"67,857.30",0.0347,"73,487.82",0.0318,"80,389.39",0.0362,"69,619.54",0.0322,"87,736.29",0.0279,"61,950.03",0.0171,"59,066.00",0.0163,"11,044.31",0.0177
27,BOSNIA-HRZGOVIN,"2,449.17",0.0029,"1,279.94",0.0015,"1,450.11",0.0013,"2,797.58",0.0019,"3,761.58",0.0023,"7,040.81",0.0037,"10,926.73",0.0058,"12,947.50",0.0075,"8,794.28",0.0048,"9,914.39",0.0051,"11,914.25",0.0052,"10,848.24",0.0049,"11,161.27",0.0052,"12,679.18",0.004,"13,886.29",0.0038,"24,217.27",0.0067,"2,114.20",0.0034
28,BOTSWANA,"11,704.04",0.0139,"10,426.09",0.0123,"15,288.33",0.0134,"24,181.23",0.0165,"28,004.85",0.0171,"33,226.16",0.0174,"27,079.05",0.0143,"34,149.14",0.0199,"51,686.36",0.0279,"69,840.13",0.0357,"1,25,351.91",0.0543,"1,26,532.25",0.057,"1,27,411.72",0.059,"2,07,735.71",0.066,"1,35,225.30",0.0373,"90,420.93",0.025,"30,713.34",0.0491
29,BR VIRGN IS,"17,119.26",0.0204,"38,970.64",0.0461,189.09,0.0002,479.29,0.0003,299.5,0.0002,243.19,0.0001,405.31,0.0002,553.5,0.0003,275.76,0.0001,491.7,0.0003,"7,263.00",0.0031,351.21,0.0002,188.32,0.0001,267.22,0.0001,366.33,0.0001,528.85,0.0001,262.03,0.0004
30,BRAZIL,"11,87,440.98",1.4124,"11,36,483.36",1.3441,"18,33,586.35",1.6127,"27,57,688.27",1.8811,"32,87,202.20",2.0114,"33,87,063.53",1.778,"36,34,024.19",1.9163,"17,26,086.45",1.0057,"16,09,747.63",0.8704,"19,74,731.34",1.0093,"26,61,743.29",1.1534,"28,11,824.32",1.2667,"31,36,033.79",1.4525,"48,34,955.97",1.5364,"79,60,684.39",2.1981,"49,80,912.58",1.3762,"10,27,995.74",1.6432
31,BRUNEI,"7,994.52",0.0095,"11,605.02",0.0137,"10,525.05",0.0093,"4,06,235.77",0.2771,"21,830.06",0.0134,"19,610.80",0.0103,"25,609.08",0.0135,"18,572.88",0.0108,"28,720.87",0.0155,"40,713.46",0.0208,"39,346.37",0.017,"40,907.41",0.0184,"46,468.60",0.0215,"32,168.79",0.0102,22.45,0,,,"6,312.20",0.0101
